Hashtag,Count
,7539
#Serenity,15
#Gratitude,13
#Excitement,13
#Despair,11
#Nostalgia,11
#Contentment,10
#Curiosity,10
#Awe,9
#Grief,9
#Loneliness,9
#Hopeful,9
#Enthusiasm,8
#Joy,8
#Acceptance,8
#Confusion,8
#Inspiration,7
#Elation,7
#Euphoria,7
#Determination,7
